playerID,firstName,lastName,age,gender,dob,height,weight,countryID,sportID
1,Win,Raleston,25,Male,07-04-1954,6.36,54.25,ECU,36
2,Roscoe,Orrocks,30,Male,15-07-1935,4.67,96.34,BER,35
3,Elia,Jenicke,60,Male,07-04-2008,4.15,49.4,SEN,18
4,Mariette,Pirson,38,Female,22-10-1963,5.7,107.81,SUD,18
5,Thibaut,Comelli,61,Male,22-01-1905,5.6,48.5,DEN,15
6,Yorgo,Leamon,35,Male,14-04-1940,6.28,52.9,SYR,38
7,Meredeth,Paydon,17,Transgender,18-05-1907,6.99,68.98,FIJ,43
8,Carmon,Laflin,33,Female,01-04-2003,4.48,109.56,GBS,58
9,Davin,Dewdney,19,Male,01-07-2007,6.18,70.94,SWZ,42
10,Elizabeth,Dunthorne,60,Female,13-04-2000,5.91,46.79,ISV,22
11,Benedict,Spat,50,Male,21-04-1916,4.52,104.01,ANT,3
12,Hewett,Leveret,32,Male,03-12-1927,4.31,73.75,SAA,32
13,Erina,Gulland,56,Female,09-06-1952,6.61,90.75,UZB,42
14,Rosy,Tunnicliffe,24,Female,21-11-1932,6.82,83.23,ZIM,31
15,Sam,Attwill,36,Female,16-07-1924,5.46,48.34,FRG,39
16,Alfi,Anselm,59,Female,01-07-1905,5.43,90.85,CHI,58
17,Sisely,Ravenscraft,50,Female,20-12-1967,5.06,105.48,EUN,12
18,Emmalynn,Pressnell,37,Female,03-09-2013,5.42,104.06,GBR,53
19,Arv,Buss,59,Male,20-03-1951,4.51,91.41,KIR,14
20,Gertrude,Khotler,42,Female,13-02-1923,4.58,108.87,CUB,39
21,Meir,Voss,40,Male,15-03-1993,6.72,66.64,LIE,14
22,Rockwell,Hansbury,40,Male,27-11-2016,5.06,66.54,SWZ,51
23,Tova,Iori,27,Female,03-01-1943,4.43,101.87,UKR,21
24,Davina,Peet,33,Female,12-05-1979,5.37,92.79,CUB,58
25,Kip,McKague,64,Male,12-02-1979,4.97,90.09,SVK,42
26,Cobb,Geldeard,20,Male,27-07-2011,5.75,91.3,SUR,2
27,Rinaldo,Barttrum,43,Male,05-05-1927,4.24,62.32,FRG,49
28,Roddie,Meers,40,Male,12-10-2018,6.38,107.7,MRI,37
29,Lanie,Mainson,19,Female,14-07-1902,6.91,87.07,LBA,54
30,Sawyer,Keys,34,Male,23-09-2001,4.05,91.91,TPE,33
31,Lavinie,Palliser,45,Female,29-04-1988,6.4,57.77,POL,35
32,Rad,Smeaton,49,Male,06-12-1912,4.26,61.37,FIJ,58
33,Selinda,Thomassin,18,Transgender,03-12-1930,6.65,51.61,ALG,28
34,Nefen,Thompstone,50,Male,03-11-1911,4.79,108.77,GUA,54
35,Jenifer,Lockery,24,Female,06-04-1983,4.29,82.96,RSA,6
36,Marielle,Gillibrand,29,Female,06-05-1972,6.83,55.41,HUN,42
37,Johan,Carrabott,45,Male,28-03-2022,6.8,83.01,CAF,33
38,Hyman,Caunter,46,Male,27-08-1950,4.49,96.27,LBR,12
39,Jameson,Takis,50,Male,29-05-2008,5,65.98,CUB,44
40,Quillan,Gammade,23,Male,08-05-1985,6.33,97.97,CUB,46
41,Conny,Steed,39,Transgender,25-12-1928,4.27,93.43,URS,5
42,Dee dee,Cosgry,57,Female,14-01-2009,5.56,78.91,IRI,44
43,Early,Peirazzi,64,Male,15-03-2011,6.13,68.73,BRU,43
44,Mariellen,Fordy,31,Female,20-07-1980,4.23,89.63,RSA,50
45,Eleen,Rack,55,Female,15-03-1937,5.3,85.75,VNM,19
46,Burton,Lambird,27,Male,06-11-1997,5.19,65.01,TUN,4
47,Fawne,Tidbold,59,Female,02-04-1934,4.32,61.03,KOS,54
48,Silvain,Dobble,41,Male,01-09-2000,4.01,56.23,ALG,38
49,Joela,Jindra,33,Female,18-05-2001,4.16,55.74,KOR,52
50,Luciana,Barlee,48,Female,25-07-1974,4.96,95.05,LBN,26
51,Rowena,Staples,25,Female,03-08-1916,5.09,85.77,BRA,51
52,Corbet,Helbeck,36,Male,02-10-1959,6.71,102.82,DJI,21
53,Ulysses,Piatkowski,41,Male,09-10-1927,5.92,69.34,JPN,21
54,Joanne,Ekless,51,Female,08-03-1924,5.03,61.36,BOL,20
55,Perl,Blampy,32,Female,27-05-1940,5.64,49.39,DJI,8
56,Nehemiah,Liger,22,Male,30-06-1968,5.44,92.46,BEL,33
57,Valentine,Mather,65,Male,10-03-1909,5.79,53.36,PLW,28
58,Chrissie,Breston,46,Male,25-06-1962,4.08,104.94,TLS,2
59,Jaime,Colicot,19,Female,18-04-2016,5.35,50.28,GRE,45
60,Granny,Barr,52,Male,26-07-1992,5.19,59.06,FSM,24
61,Ulrica,Mincher,33,Female,30-03-2018,5.15,54.73,KOS,59
