playerID,firstName,lastName,age,dob,height,weight,countryID,sportID
1,Edita,Furmonger,41,23-05-1923,6.29,83.43,CHA,33
2,Eberto,Castagnasso,36,03-08-1921,5.41,62.2,SLO,10
3,Luis,Sayer,39,29-04-1954,6.91,88.54,ROC,8
4,Nadia,Englishby,28,14-06-1971,4.16,108.4,ANT,17
5,Clarisse,Januszkiewicz,48,08-07-2000,5.83,71.41,PER,28
6,Caryl,Dowtry,29,21-06-1968,6.15,97.49,KOR,24
7,Emmanuel,Klein,37,13-12-1929,6.29,78.08,EOR,49
8,Shayne,Caddens,58,05-08-1955,4.27,74.75,CAY,58
9,Rod,Hynam,27,25-10-1967,5.71,48.87,SKN,16
10,Ardis,Birchill,61,11-11-1918,6.67,73.81,ALG,7
11,Brandy,Marklin,34,25-08-1991,6.66,63.68,VIN,37
12,Charyl,Nowill,39,11-01-1917,5.33,92.85,BDI,26
13,Anne,Willshere,37,02-12-1901,4.79,106.12,MLI,24
14,Naomi,Moggach,65,27-08-1968,6.85,72.6,PAR,13
15,Flemming,Peltzer,62,28-11-1920,4.13,73.42,POL,5
16,Zebulon,Lidierth,45,19-01-1947,4.8,97.52,BIZ,34
17,Lynnell,Yanele,63,28-09-1932,5.32,72.79,NGR,6
18,Cheri,Mirrlees,20,19-11-1950,6.16,79.28,ETH,34
19,Ches,McCrackan,24,08-08-1975,5.16,67.79,BLR,6
20,Xavier,Umpleby,48,24-09-1981,4.73,74.62,KOR,44
21,Cory,Backshaw,46,13-11-1950,5.12,48.28,KIR,17
22,Dael,Aleksandrev,48,07-12-1908,5.64,52.48,ASA,7
23,Abba,Pinchin,41,17-04-2000,6.4,108.63,BDI,20
24,Linea,Seedull,62,08-11-1977,5.43,66.6,JAM,49
25,Biddy,Haselwood,51,27-04-1976,5.41,75.62,TUR,6
26,Dwain,Quarless,46,20-10-1970,6.89,62.73,BAR,60
27,Byrom,Skepper,54,26-05-1923,4.32,66.22,DOM,35
28,Thedric,Goodfellowe,51,06-08-1992,4.78,82.63,IRI,31
29,Alejoa,Castillo,23,06-12-1944,6.98,79,JOR,10
30,Romonda,Croker,60,25-01-1966,4.92,65.64,SUR,25
31,Lyell,Iltchev,22,19-12-1954,6.84,91.16,CZE,2
32,Selina,Hanford,46,28-01-1960,5.39,67.39,YEM,30
33,Andy,De Bellis,46,25-04-1929,5.18,92.3,CHA,40
34,Lisbeth,Burchatt,55,15-10-1983,4.97,84.47,ANT,59
35,Jeffry,Fozard,44,19-04-1950,6.86,67.33,SAM,51
36,Valera,Castane,44,03-01-1978,5.55,106.14,CRT,44
37,Leonelle,Cooksley,26,07-06-1922,6.94,93.64,BIZ,45
38,Heidi,Thams,48,09-05-1955,5.56,48.08,BRU,36
39,Arnold,Bartolomeotti,56,09-11-1995,6.81,106.11,SAM,51
40,Pet,Syme,22,09-06-1923,6.34,80.44,STP,39
41,Carrol,Thompson,60,06-01-1928,6.19,106.92,NEP,7
42,Margit,Eldrett,58,17-01-1957,6.67,84.58,CRO,22
43,Milicent,Bantham,23,05-06-1946,6.7,108.89,GER,22
44,Marco,Wigglesworth,20,21-04-1905,6.93,57.25,BAR,23
